,datas,termos,posição
59,2022-06-07,roupas baratas,
60,2022-06-07,roupas baratas,7.0
61,2022-06-07,roupas baratas,
62,2022-06-07,roupas baratas,3.0
63,2022-06-07,roupas de marca,10.0
64,2022-06-07,roupas de marca,11.0
65,2022-06-07,roupas de marca,
66,2022-06-07,roupas de marca,12.0
67,2022-06-07,roupas de marca,
68,2022-06-07,roupas de marca,6.0
69,2022-06-07,roupas femininas,12.0
70,2022-06-07,roupas femininas,4.0
71,2022-06-07,roupas femininas,
72,2022-06-07,roupas femininas,7.0
73,2022-06-07,roupas femininas,
74,2022-06-07,roupas femininas,3.0
75,2022-06-07,roupas importadas,9.0
76,2022-06-07,roupas importadas,6.0
77,2022-06-07,roupas importadas,
78,2022-06-07,roupas importadas,7.0
79,2022-06-07,roupas importadas,
80,2022-06-07,roupas importadas,3.0
81,2022-06-07,roupas masculinas,6.0
82,2022-06-07,roupas masculinas,8.0
83,2022-06-07,roupas masculinas,
84,2022-06-07,roupas masculinas,9.0
85,2022-06-07,roupas masculinas,
86,2022-06-07,roupas masculinas,1.0
87,2022-06-07,roupas online,9.0
88,2022-06-07,roupas online,6.0
89,2022-06-07,roupas online,
90,2022-06-07,roupas online,7.0
91,2022-06-07,roupas online,
92,2022-06-07,roupas online,3.0
93,2022-06-07,vizzano,3.0
94,2022-06-07,vizzano,
95,2022-06-07,vizzano,9.0
96,2022-06-07,vizzano,5.0
97,2022-06-07,bastille,
98,2022-06-07,beyoung,
99,2022-06-07,bolas de marca,
100,2022-06-07,hope,
101,2022-06-07,beira rio,
102,2022-06-07,bolsas,4.0
103,2022-06-07,bolsas,11.0
104,2022-06-07,calÃ§ados,12.0
105,2022-06-07,calÃ§ados,1.0
106,2022-06-07,calÃ§ados,17.0
107,2022-06-07,colcci,15.0
108,2022-06-07,colcci,22.0
109,2022-06-07,colcci,24.0
110,2022-06-07,colcci,31.0
111,2022-06-07,colcci,14.0
112,2022-06-07,loja de roupas,9.0
113,2022-06-07,loja de roupas,35.0
114,2022-06-07,loja de roupas,5.0
115,2022-06-07,loja de roupas,31.0
116,2022-06-07,loja de roupas,17.0
117,2022-06-07,loja de roupas,12.0
118,2022-06-07,moda feminina,13.0
119,2022-06-07,moda feminina,31.0
120,2022-06-07,moda feminina,24.0
121,2022-06-07,moda feminina,8.0
122,2022-06-07,moda feminina,7.0
123,2022-06-07,moda feminina,4.0
124,2022-06-07,moda online,50.0
125,2022-06-07,moda online,32.0
126,2022-06-07,moda online,5.0
127,2022-06-07,moda online,12.0
128,2022-06-07,moda online,75.0
129,2022-06-07,moda online,1.0
130,2022-06-07,outlet,7.0
131,2022-06-07,outlet,
132,2022-06-07,outlet,2.0
133,2022-06-07,outlet,1.0
134,2022-06-07,outlet de marcas,2.0
135,2022-06-07,outlet de marcas,1.0
136,2022-06-07,outlet de moda,3.0
137,2022-06-07,outlet de moda,
138,2022-06-07,outlet de moda,4.0
139,2022-06-07,outlet de moda,2.0
140,2022-06-07,outlet nike,9.0
141,2022-06-07,outlet nike,
142,2022-06-07,outlet nike,6.0
143,2022-06-07,outlet nike,2.0
144,2022-06-07,outlet premium,8.0
145,2022-06-07,outlet premium,
146,2022-06-07,outlet premium,1.0
147,2022-06-07,outlet premium,3.0
148,2022-06-07,privalia,2.0
149,2022-06-07,privalia,3.0
150,2022-06-07,privalia,4.0
151,2022-06-07,privalia,1.0
152,2022-06-07,roupas,6.0
153,2022-06-07,roupas,15.0
154,2022-06-07,roupas,3.0
155,2022-06-07,roupas,19.0
156,2022-06-07,roupas,21.0
157,2022-06-07,roupas,1.0
158,2022-06-07,roupas baratas,9.0
159,2022-06-07,roupas baratas,25.0
160,2022-06-07,roupas baratas,4.0
161,2022-06-07,roupas baratas,27.0
162,2022-06-07,roupas baratas,39.0
163,2022-06-07,roupas baratas,10.0
164,2022-06-07,roupas de marca,1.0
165,2022-06-07,roupas de marca,2.0
166,2022-06-07,roupas de marca,16.0
167,2022-06-07,roupas de marca,33.0
168,2022-06-07,roupas de marca,12.0
169,2022-06-07,roupas de marca,4.0
170,2022-06-07,roupas femininas,5.0
171,2022-06-07,roupas femininas,28.0
172,2022-06-07,roupas femininas,10.0
173,2022-06-07,roupas femininas,2.0
174,2022-06-07,roupas femininas,19.0
175,2022-06-07,roupas femininas,3.0
176,2022-06-07,roupas importadas,5.0
177,2022-06-07,roupas importadas,1.0
178,2022-06-07,roupas importadas,14.0
179,2022-06-07,roupas importadas,20.0
180,2022-06-07,roupas importadas,33.0
181,2022-06-07,roupas importadas,3.0
182,2022-06-07,roupas masculinas,12.0
183,2022-06-07,roupas masculinas,22.0
184,2022-06-07,roupas masculinas,18.0
185,2022-06-07,roupas masculinas,39.0
186,2022-06-07,roupas masculinas,14.0
187,2022-06-07,roupas masculinas,4.0
188,2022-06-07,roupas online,6.0
189,2022-06-07,roupas online,4.0
190,2022-06-07,roupas online,1.0
191,2022-06-07,roupas online,18.0
192,2022-06-07,roupas online,33.0
193,2022-06-07,roupas online,15.0
194,2022-06-07,vizzano,9.0
195,2022-06-07,vizzano,1.0
196,2022-06-07,vizzano,16.0
197,2022-06-07,vizzano,13.0
198,2022-06-07,bastille,
199,2022-06-07,beyoung,
200,2022-06-07,bolas de marca,
201,2022-06-07,hope,
202,2022-06-06,beira rio,
203,2022-06-06,bolsas,9.0
204,2022-06-06,bolsas,
205,2022-06-06,calÃ§ados,3.0
206,2022-06-06,calÃ§ados,
207,2022-06-06,calÃ§ados,4.0
208,2022-06-06,colcci,6.0
209,2022-06-06,colcci,
210,2022-06-06,colcci,2.0
211,2022-06-06,colcci,
212,2022-06-06,colcci,1.0
213,2022-06-06,loja de roupas,19.0
214,2022-06-06,loja de roupas,12.0
215,2022-06-06,loja de roupas,
216,2022-06-06,loja de roupas,15.0
217,2022-06-06,loja de roupas,
218,2022-06-06,loja de roupas,8.0
219,2022-06-06,moda feminina,12.0
220,2022-06-06,moda feminina,5.0
221,2022-06-06,moda feminina,
222,2022-06-06,moda feminina,6.0
223,2022-06-06,moda feminina,
224,2022-06-06,moda feminina,4.0
225,2022-06-06,moda online,17.0
226,2022-06-06,moda online,10.0
227,2022-06-06,moda online,
228,2022-06-06,moda online,8.0
229,2022-06-06,moda online,
230,2022-06-06,moda online,7.0
231,2022-06-06,outlet,2.0
232,2022-06-06,outlet,
233,2022-06-06,outlet,
234,2022-06-06,outlet,1.0
235,2022-06-06,outlet de marcas,2.0
236,2022-06-06,outlet de marcas,1.0
237,2022-06-06,outlet de moda,2.0
238,2022-06-06,outlet de moda,
239,2022-06-06,outlet de moda,
240,2022-06-06,outlet de moda,1.0
241,2022-06-06,outlet nike,2.0
242,2022-06-06,outlet nike,
243,2022-06-06,outlet nike,
244,2022-06-06,outlet nike,1.0
245,2022-06-06,outlet premium,
246,2022-06-06,outlet premium,
247,2022-06-06,outlet premium,
248,2022-06-06,outlet premium,1.0
249,2022-06-06,privalia,2.0
250,2022-06-06,privalia,
251,2022-06-06,privalia,
252,2022-06-06,privalia,1.0
253,2022-06-06,roupas,11.0
254,2022-06-06,roupas,7.0
255,2022-06-06,roupas,
256,2022-06-06,roupas,12.0
257,2022-06-06,roupas,
258,2022-06-06,roupas,9.0
259,2022-06-06,roupas baratas,10.0
260,2022-06-06,roupas baratas,6.0
261,2022-06-06,roupas baratas,
262,2022-06-06,roupas baratas,7.0
263,2022-06-06,roupas baratas,
264,2022-06-06,roupas baratas,3.0
265,2022-06-06,roupas de marca,10.0
266,2022-06-06,roupas de marca,11.0
267,2022-06-06,roupas de marca,
268,2022-06-06,roupas de marca,12.0
269,2022-06-06,roupas de marca,
270,2022-06-06,roupas de marca,6.0
271,2022-06-06,roupas femininas,12.0
272,2022-06-06,roupas femininas,4.0
273,2022-06-06,roupas femininas,
274,2022-06-06,roupas femininas,7.0
275,2022-06-06,roupas femininas,
276,2022-06-06,roupas femininas,3.0
277,2022-06-06,roupas importadas,10.0
278,2022-06-06,roupas importadas,6.0
279,2022-06-06,roupas importadas,
280,2022-06-06,roupas importadas,7.0
281,2022-06-06,roupas importadas,
282,2022-06-06,roupas importadas,3.0
283,2022-06-06,roupas masculinas,6.0
284,2022-06-06,roupas masculinas,8.0
285,2022-06-06,roupas masculinas,
286,2022-06-06,roupas masculinas,9.0
287,2022-06-06,roupas masculinas,
288,2022-06-06,roupas masculinas,1.0
289,2022-06-06,roupas online,10.0
290,2022-06-06,roupas online,6.0
291,2022-06-06,roupas online,
292,2022-06-06,roupas online,7.0
293,2022-06-06,roupas online,
294,2022-06-06,roupas online,3.0
295,2022-06-06,vizzano,3.0
296,2022-06-06,vizzano,
297,2022-06-06,vizzano,9.0
298,2022-06-06,vizzano,5.0
299,2022-06-06,bastille,
300,2022-06-06,beyoung,
301,2022-06-06,bolas de marca,
302,2022-06-06,hope,
303,2022-06-06,beira rio,
304,2022-06-06,bolsas,3.0
305,2022-06-06,bolsas,11.0
306,2022-06-06,calÃ§ados,6.0
307,2022-06-06,calÃ§ados,3.0
308,2022-06-06,calÃ§ados,13.0
309,2022-06-06,colcci,12.0
310,2022-06-06,colcci,23.0
311,2022-06-06,colcci,26.0
312,2022-06-06,colcci,31.0
313,2022-06-06,colcci,14.0
314,2022-06-06,loja de roupas,8.0
315,2022-06-06,loja de roupas,35.0
316,2022-06-06,loja de roupas,5.0
317,2022-06-06,loja de roupas,31.0
318,2022-06-06,loja de roupas,17.0
319,2022-06-06,loja de roupas,11.0
320,2022-06-06,moda feminina,13.0
321,2022-06-06,moda feminina,31.0
322,2022-06-06,moda feminina,24.0
323,2022-06-06,moda feminina,9.0
324,2022-06-06,moda feminina,7.0
325,2022-06-06,moda feminina,5.0
326,2022-06-06,moda online,51.0
327,2022-06-06,moda online,33.0
328,2022-06-06,moda online,5.0
329,2022-06-06,moda online,12.0
330,2022-06-06,moda online,69.0
331,2022-06-06,moda online,1.0
332,2022-06-06,outlet,7.0
333,2022-06-06,outlet,
334,2022-06-06,outlet,2.0
335,2022-06-06,outlet,1.0
336,2022-06-06,outlet de marcas,2.0
337,2022-06-06,outlet de marcas,1.0
338,2022-06-06,outlet de moda,3.0
339,2022-06-06,outlet de moda,
340,2022-06-06,outlet de moda,4.0
341,2022-06-06,outlet de moda,2.0
342,2022-06-06,outlet nike,9.0
343,2022-06-06,outlet nike,
344,2022-06-06,outlet nike,6.0
345,2022-06-06,outlet nike,2.0
346,2022-06-06,outlet premium,8.0
347,2022-06-06,outlet premium,
348,2022-06-06,outlet premium,1.0
349,2022-06-06,outlet premium,3.0
350,2022-06-06,privalia,2.0
351,2022-06-06,privalia,3.0
352,2022-06-06,privalia,4.0
353,2022-06-06,privalia,1.0
354,2022-06-06,roupas,6.0
355,2022-06-06,roupas,15.0
356,2022-06-06,roupas,3.0
357,2022-06-06,roupas,21.0
358,2022-06-06,roupas,18.0
359,2022-06-06,roupas,1.0
360,2022-06-06,roupas baratas,9.0
361,2022-06-06,roupas baratas,25.0
362,2022-06-06,roupas baratas,4.0
363,2022-06-06,roupas baratas,27.0
364,2022-06-06,roupas baratas,37.0
365,2022-06-06,roupas baratas,10.0
366,2022-06-06,roupas de marca,1.0
367,2022-06-06,roupas de marca,2.0
368,2022-06-06,roupas de marca,16.0
369,2022-06-06,roupas de marca,33.0
370,2022-06-06,roupas de marca,12.0
371,2022-06-06,roupas de marca,4.0
372,2022-06-06,roupas femininas,5.0
373,2022-06-06,roupas femininas,27.0
374,2022-06-06,roupas femininas,9.0
375,2022-06-06,roupas femininas,2.0
376,2022-06-06,roupas femininas,17.0
377,2022-06-06,roupas femininas,4.0
378,2022-06-06,roupas importadas,5.0
379,2022-06-06,roupas importadas,1.0
380,2022-06-06,roupas importadas,13.0
381,2022-06-06,roupas importadas,20.0
382,2022-06-06,roupas importadas,32.0
383,2022-06-06,roupas importadas,3.0
384,2022-06-06,roupas masculinas,11.0
385,2022-06-06,roupas masculinas,21.0
386,2022-06-06,roupas masculinas,16.0
387,2022-06-06,roupas masculinas,39.0
388,2022-06-06,roupas masculinas,12.0
389,2022-06-06,roupas masculinas,1.0
390,2022-06-06,roupas online,6.0
391,2022-06-06,roupas online,4.0
392,2022-06-06,roupas online,1.0
393,2022-06-06,roupas online,19.0
394,2022-06-06,roupas online,30.0
395,2022-06-06,roupas online,15.0
396,2022-06-06,vizzano,9.0
397,2022-06-06,vizzano,1.0
398,2022-06-06,vizzano,16.0
399,2022-06-06,vizzano,13.0
400,2022-06-06,bastille,
401,2022-06-06,beyoung,
402,2022-06-06,bolas de marca,
403,2022-06-06,hope,
404,2022-06-05,beira rio,
405,2022-06-05,bolsas,12.0
406,2022-06-05,bolsas,
407,2022-06-05,calÃ§ados,3.0
408,2022-06-05,calÃ§ados,
409,2022-06-05,calÃ§ados,4.0
410,2022-06-05,colcci,6.0
411,2022-06-05,colcci,
412,2022-06-05,colcci,2.0
413,2022-06-05,colcci,
414,2022-06-05,colcci,1.0
415,2022-06-05,loja de roupas,19.0
416,2022-06-05,loja de roupas,14.0
417,2022-06-05,loja de roupas,
418,2022-06-05,loja de roupas,15.0
419,2022-06-05,loja de roupas,
420,2022-06-05,loja de roupas,7.0
421,2022-06-05,moda feminina,13.0
422,2022-06-05,moda feminina,6.0
423,2022-06-05,moda feminina,
424,2022-06-05,moda feminina,5.0
425,2022-06-05,moda feminina,
426,2022-06-05,moda feminina,4.0
427,2022-06-05,moda online,17.0
428,2022-06-05,moda online,11.0
429,2022-06-05,moda online,
430,2022-06-05,moda online,8.0
431,2022-06-05,moda online,
432,2022-06-05,moda online,7.0
433,2022-06-05,outlet,2.0
434,2022-06-05,outlet,
435,2022-06-05,outlet,
436,2022-06-05,outlet,1.0
437,2022-06-05,outlet de marcas,2.0
438,2022-06-05,outlet de marcas,1.0
439,2022-06-05,outlet de moda,2.0
440,2022-06-05,outlet de moda,
441,2022-06-05,outlet de moda,
442,2022-06-05,outlet de moda,1.0
443,2022-06-05,outlet nike,2.0
444,2022-06-05,outlet nike,
445,2022-06-05,outlet nike,
446,2022-06-05,outlet nike,1.0
447,2022-06-05,outlet premium,
448,2022-06-05,outlet premium,
449,2022-06-05,outlet premium,
450,2022-06-05,outlet premium,1.0
451,2022-06-05,privalia,2.0
452,2022-06-05,privalia,
453,2022-06-05,privalia,
454,2022-06-05,privalia,1.0
455,2022-06-05,roupas,11.0
456,2022-06-05,roupas,7.0
457,2022-06-05,roupas,
458,2022-06-05,roupas,12.0
459,2022-06-05,roupas,
460,2022-06-05,roupas,9.0
461,2022-06-05,roupas baratas,10.0
462,2022-06-05,roupas baratas,6.0
463,2022-06-05,roupas baratas,
464,2022-06-05,roupas baratas,7.0
465,2022-06-05,roupas baratas,
466,2022-06-05,roupas baratas,3.0
467,2022-06-05,roupas de marca,10.0
468,2022-06-05,roupas de marca,11.0
469,2022-06-05,roupas de marca,
470,2022-06-05,roupas de marca,12.0
471,2022-06-05,roupas de marca,
472,2022-06-05,roupas de marca,6.0
473,2022-06-05,roupas femininas,12.0
474,2022-06-05,roupas femininas,5.0
475,2022-06-05,roupas femininas,
476,2022-06-05,roupas femininas,7.0
477,2022-06-05,roupas femininas,
478,2022-06-05,roupas femininas,3.0
479,2022-06-05,roupas importadas,10.0
480,2022-06-05,roupas importadas,6.0
481,2022-06-05,roupas importadas,
482,2022-06-05,roupas importadas,7.0
483,2022-06-05,roupas importadas,
484,2022-06-05,roupas importadas,3.0
485,2022-06-05,roupas masculinas,7.0
486,2022-06-05,roupas masculinas,8.0
487,2022-06-05,roupas masculinas,
488,2022-06-05,roupas masculinas,9.0
489,2022-06-05,roupas masculinas,
490,2022-06-05,roupas masculinas,1.0
491,2022-06-05,roupas online,10.0
492,2022-06-05,roupas online,6.0
493,2022-06-05,roupas online,
494,2022-06-05,roupas online,7.0
495,2022-06-05,roupas online,
496,2022-06-05,roupas online,3.0
497,2022-06-05,vizzano,3.0
498,2022-06-05,vizzano,
499,2022-06-05,vizzano,9.0
500,2022-06-05,vizzano,5.0
501,2022-06-05,bastille,
502,2022-06-05,beyoung,
503,2022-06-05,bolas de marca,
504,2022-06-05,hope,
505,2022-06-05,beira rio,
506,2022-06-05,bolsas,6.0
507,2022-06-05,bolsas,7.0
508,2022-06-05,calÃ§ados,2.0
509,2022-06-05,calÃ§ados,1.0
510,2022-06-05,calÃ§ados,10.0
511,2022-06-05,colcci,24.0
512,2022-06-05,colcci,23.0
513,2022-06-05,colcci,26.0
514,2022-06-05,colcci,32.0
515,2022-06-05,colcci,9.0
516,2022-06-05,loja de roupas,11.0
517,2022-06-05,loja de roupas,35.0
518,2022-06-05,loja de roupas,4.0
519,2022-06-05,loja de roupas,31.0
520,2022-06-05,loja de roupas,16.0
521,2022-06-05,loja de roupas,8.0
522,2022-06-05,moda feminina,13.0
523,2022-06-05,moda feminina,31.0
524,2022-06-05,moda feminina,24.0
525,2022-06-05,moda feminina,7.0
526,2022-06-05,moda feminina,6.0
527,2022-06-05,moda feminina,8.0
528,2022-06-05,moda online,52.0
529,2022-06-05,moda online,38.0
530,2022-06-05,moda online,5.0
531,2022-06-05,moda online,12.0
532,2022-06-05,moda online,70.0
533,2022-06-05,moda online,1.0
534,2022-06-05,outlet,5.0
535,2022-06-05,outlet,
536,2022-06-05,outlet,2.0
537,2022-06-05,outlet,1.0
538,2022-06-05,outlet de marcas,2.0
539,2022-06-05,outlet de marcas,1.0
540,2022-06-05,outlet de moda,3.0
541,2022-06-05,outlet de moda,
542,2022-06-05,outlet de moda,4.0
543,2022-06-05,outlet de moda,2.0
544,2022-06-05,outlet nike,9.0
545,2022-06-05,outlet nike,
546,2022-06-05,outlet nike,6.0
547,2022-06-05,outlet nike,2.0
548,2022-06-05,outlet premium,7.0
549,2022-06-05,outlet premium,
550,2022-06-05,outlet premium,1.0
551,2022-06-05,outlet premium,3.0
552,2022-06-05,privalia,2.0
553,2022-06-05,privalia,3.0
554,2022-06-05,privalia,4.0
555,2022-06-05,privalia,1.0
556,2022-06-05,roupas,5.0
557,2022-06-05,roupas,14.0
558,2022-06-05,roupas,2.0
559,2022-06-05,roupas,21.0
560,2022-06-05,roupas,20.0
561,2022-06-05,roupas,1.0
562,2022-06-05,roupas baratas,9.0
563,2022-06-05,roupas baratas,26.0
564,2022-06-05,roupas baratas,4.0
565,2022-06-05,roupas baratas,27.0
566,2022-06-05,roupas baratas,38.0
567,2022-06-05,roupas baratas,11.0
568,2022-06-05,roupas de marca,3.0
569,2022-06-05,roupas de marca,1.0
570,2022-06-05,roupas de marca,16.0
571,2022-06-05,roupas de marca,33.0
572,2022-06-05,roupas de marca,12.0
573,2022-06-05,roupas de marca,4.0
574,2022-06-05,roupas femininas,5.0
575,2022-06-05,roupas femininas,27.0
576,2022-06-05,roupas femininas,9.0
577,2022-06-05,roupas femininas,2.0
578,2022-06-05,roupas femininas,17.0
579,2022-06-05,roupas femininas,4.0
580,2022-06-05,roupas importadas,5.0
581,2022-06-05,roupas importadas,1.0
582,2022-06-05,roupas importadas,13.0
583,2022-06-05,roupas importadas,20.0
584,2022-06-05,roupas importadas,33.0
585,2022-06-05,roupas importadas,3.0
586,2022-06-05,roupas masculinas,11.0
587,2022-06-05,roupas masculinas,21.0
588,2022-06-05,roupas masculinas,16.0
589,2022-06-05,roupas masculinas,39.0
590,2022-06-05,roupas masculinas,12.0
591,2022-06-05,roupas masculinas,1.0
592,2022-06-05,roupas online,6.0
593,2022-06-05,roupas online,4.0
594,2022-06-05,roupas online,1.0
595,2022-06-05,roupas online,19.0
596,2022-06-05,roupas online,32.0
597,2022-06-05,roupas online,15.0
598,2022-06-05,vizzano,9.0
599,2022-06-05,vizzano,1.0
600,2022-06-05,vizzano,15.0
601,2022-06-05,vizzano,13.0
602,2022-06-05,bastille,
603,2022-06-05,beyoung,
604,2022-06-05,bolas de marca,
605,2022-06-05,hope,
606,2022-06-04,beira rio,
607,2022-06-04,bolsas,12.0
608,2022-06-04,bolsas,
609,2022-06-04,calÃ§ados,3.0
610,2022-06-04,calÃ§ados,
611,2022-06-04,calÃ§ados,5.0
612,2022-06-04,colcci,6.0
613,2022-06-04,colcci,
614,2022-06-04,colcci,2.0
615,2022-06-04,colcci,
616,2022-06-04,colcci,1.0
617,2022-06-04,loja de roupas,19.0
618,2022-06-04,loja de roupas,13.0
619,2022-06-04,loja de roupas,
620,2022-06-04,loja de roupas,14.0
621,2022-06-04,loja de roupas,
622,2022-06-04,loja de roupas,7.0
623,2022-06-04,moda feminina,12.0
624,2022-06-04,moda feminina,6.0
625,2022-06-04,moda feminina,
626,2022-06-04,moda feminina,5.0
627,2022-06-04,moda feminina,
628,2022-06-04,moda feminina,4.0
629,2022-06-04,moda online,17.0
630,2022-06-04,moda online,10.0
631,2022-06-04,moda online,
632,2022-06-04,moda online,8.0
633,2022-06-04,moda online,
634,2022-06-04,moda online,7.0
635,2022-06-04,outlet,2.0
636,2022-06-04,outlet,
637,2022-06-04,outlet,
638,2022-06-04,outlet,1.0
639,2022-06-04,outlet de marcas,2.0
640,2022-06-04,outlet de marcas,1.0
641,2022-06-04,outlet de moda,2.0
642,2022-06-04,outlet de moda,
643,2022-06-04,outlet de moda,
644,2022-06-04,outlet de moda,1.0
645,2022-06-04,outlet nike,2.0
646,2022-06-04,outlet nike,
647,2022-06-04,outlet nike,
648,2022-06-04,outlet nike,1.0
649,2022-06-04,outlet premium,
650,2022-06-04,outlet premium,
651,2022-06-04,outlet premium,
652,2022-06-04,outlet premium,1.0
653,2022-06-04,privalia,2.0
654,2022-06-04,privalia,
655,2022-06-04,privalia,
656,2022-06-04,privalia,1.0
657,2022-06-04,roupas,10.0
658,2022-06-04,roupas,6.0
659,2022-06-04,roupas,
660,2022-06-04,roupas,11.0
661,2022-06-04,roupas,
662,2022-06-04,roupas,8.0
663,2022-06-04,roupas baratas,9.0
664,2022-06-04,roupas baratas,6.0
665,2022-06-04,roupas baratas,
666,2022-06-04,roupas baratas,7.0
667,2022-06-04,roupas baratas,
668,2022-06-04,roupas baratas,3.0
669,2022-06-04,roupas de marca,8.0
670,2022-06-04,roupas de marca,9.0
671,2022-06-04,roupas de marca,
672,2022-06-04,roupas de marca,10.0
673,2022-06-04,roupas de marca,
674,2022-06-04,roupas de marca,1.0
675,2022-06-04,roupas femininas,11.0
676,2022-06-04,roupas femininas,5.0
677,2022-06-04,roupas femininas,
678,2022-06-04,roupas femininas,6.0
679,2022-06-04,roupas femininas,
680,2022-06-04,roupas femininas,3.0
681,2022-06-04,roupas importadas,9.0
682,2022-06-04,roupas importadas,6.0
683,2022-06-04,roupas importadas,
684,2022-06-04,roupas importadas,7.0
685,2022-06-04,roupas importadas,
686,2022-06-04,roupas importadas,3.0
687,2022-06-04,roupas masculinas,6.0
688,2022-06-04,roupas masculinas,8.0
689,2022-06-04,roupas masculinas,
690,2022-06-04,roupas masculinas,9.0
691,2022-06-04,roupas masculinas,
692,2022-06-04,roupas masculinas,1.0
693,2022-06-04,roupas online,9.0
694,2022-06-04,roupas online,6.0
695,2022-06-04,roupas online,
696,2022-06-04,roupas online,7.0
697,2022-06-04,roupas online,
698,2022-06-04,roupas online,3.0
699,2022-06-04,vizzano,3.0
700,2022-06-04,vizzano,
701,2022-06-04,vizzano,7.0
702,2022-06-04,vizzano,
703,2022-06-04,bastille,
704,2022-06-04,beyoung,
705,2022-06-04,bolas de marca,
706,2022-06-04,hope,
707,2022-06-04,beira rio,
708,2022-06-04,bolsas,7.0
709,2022-06-04,bolsas,6.0
710,2022-06-04,calÃ§ados,3.0
711,2022-06-04,calÃ§ados,1.0
712,2022-06-04,calÃ§ados,12.0
713,2022-06-04,colcci,25.0
714,2022-06-04,colcci,23.0
715,2022-06-04,colcci,26.0
716,2022-06-04,colcci,33.0
717,2022-06-04,colcci,9.0
718,2022-06-04,loja de roupas,8.0
719,2022-06-04,loja de roupas,35.0
720,2022-06-04,loja de roupas,2.0
721,2022-06-04,loja de roupas,31.0
722,2022-06-04,loja de roupas,15.0
723,2022-06-04,loja de roupas,7.0
724,2022-06-04,moda feminina,15.0
725,2022-06-04,moda feminina,32.0
726,2022-06-04,moda feminina,26.0
727,2022-06-04,moda feminina,6.0
728,2022-06-04,moda feminina,4.0
729,2022-06-04,moda feminina,9.0
730,2022-06-04,moda online,51.0
731,2022-06-04,moda online,37.0
732,2022-06-04,moda online,5.0
733,2022-06-04,moda online,12.0
734,2022-06-04,moda online,70.0
735,2022-06-04,moda online,1.0
736,2022-06-04,outlet,6.0
737,2022-06-04,outlet,
738,2022-06-04,outlet,2.0
739,2022-06-04,outlet,1.0
740,2022-06-04,outlet de marcas,2.0
741,2022-06-04,outlet de marcas,1.0
742,2022-06-04,outlet de moda,3.0
743,2022-06-04,outlet de moda,
744,2022-06-04,outlet de moda,4.0
745,2022-06-04,outlet de moda,2.0
746,2022-06-04,outlet nike,9.0
747,2022-06-04,outlet nike,
748,2022-06-04,outlet nike,6.0
749,2022-06-04,outlet nike,2.0
750,2022-06-04,outlet premium,8.0
751,2022-06-04,outlet premium,
752,2022-06-04,outlet premium,1.0
753,2022-06-04,outlet premium,3.0
754,2022-06-04,privalia,2.0
755,2022-06-04,privalia,3.0
756,2022-06-04,privalia,4.0
757,2022-06-04,privalia,1.0
758,2022-06-04,roupas,5.0
759,2022-06-04,roupas,14.0
760,2022-06-04,roupas,3.0
761,2022-06-04,roupas,22.0
762,2022-06-04,roupas,16.0
763,2022-06-04,roupas,1.0
764,2022-06-04,roupas baratas,9.0
765,2022-06-04,roupas baratas,26.0
766,2022-06-04,roupas baratas,3.0
767,2022-06-04,roupas baratas,27.0
768,2022-06-04,roupas baratas,37.0
769,2022-06-04,roupas baratas,11.0
770,2022-06-04,roupas de marca,4.0
771,2022-06-04,roupas de marca,1.0
